Question,Class
What is the full form of .com ?,ABBR
What does the abbreviation AIDS stand for ?,ABBR
What does INRI stand for when used on Jesus ' cross ?,ABBR
What does S.O.S. stand for ?,ABBR
CNN is the abbreviation for what ?,ABBR
What does ' PSI ' stand for ?,ABBR
What is the abbreviation for micro ?,ABBR
What does NASDAQ stand for ?,ABBR
What is BPH ?,ABBR
What is the abbreviation of the company name ' General Motors ' ?,ABBR
What does G.M.T. stand for ?,ABBR
What does SIDS stand for ?,ABBR
What is the abbreviated expression for the National Bureau of Investigation ?,ABBR
What does NAFTA stand for ?,ABBR
What is the full name of the PLO ?,ABBR
What does the word LASER mean ?,ABBR
What does NN O '' mean when used as a prefix in Irish surnames ?,ABBR
What does the abbreviation cwt. ?,ABBR
What do the letters ZIP stand for in the phrase '' ZIP code '' ?,ABBR
What does e.g. stand for ?,ABBR
What does IBM stand for ?,ABBR
What does U.S.S.R. stand for ?,ABBR
What does NECROSIS mean ?,ABBR
What is the abbreviation of General Motors ?,ABBR
What does CNN stand for ?,ABBR
What's the abbreviation for trinitrotoluene ?,ABBR
What is IOC an abbreviation of ?,ABBR
What is the abbreviated form of the National Bureau of Investigation ?,ABBR
What does the '' c '' stand for in the equation E=mc2 ?,ABBR
What is a '' USB '' port on a computer ?,ABBR
What does LOL mean ?,ABBR
What does IOC stand for ?,ABBR
What is the acronym for the National Bureau of Investigation ?,ABBR
What is the abbreviated term used for the National Bureau of Investigation ?,ABBR
What is RCD ?,ABBR
What does SHIELD stand for ?,ABBR
What's the abbreviation for limited partnership ?,ABBR
What does the abbreviation IOC stand for ?,ABBR
What is the abbreviation of the National Bureau of Investigation ?,ABBR
What is HTML ?,ABBR
What does A&W of root beer fame stand for ?,ABBR
What is AFS ?,ABBR
What is DEET ?,ABBR
What is DTMF ?,ABBR
What does JESSICA mean ?,ABBR
What does MSG stand for ?,ABBR
What does the E stand for in the equation E=mc2 ?,ABBR
What does VCR stand for ?,ABBR
What does the channel ESPN stand for ?,ABBR
CNN is an acronym for what ?,ABBR
What does NASA stand for ?,ABBR
What does the number '' 5 '' stand for on FUBU clothing ?,ABBR
What does BTU mean ?,ABBR
What does the abbreviation OAS stand for ?,ABBR
What does HIV stand for ?,ABBR
What is HDLC ?,ABBR
What is the abbreviation for Original Equipment Manufacturer ?,ABBR
What does snafu stand for ?,ABBR
What does the T.S. stand for in T.S. Eliot's name ?,ABBR
What does IQ stand for ?,ABBR
What is RAM in the computer ?,ABBR
What is SVHS ?,ABBR
What is SAP ?,ABBR
What is the correct way to abbreviate cc. at the bottom of a business letter ?,ABBR
What does BMW stand for ?,ABBR
What is LMDS ?,ABBR
What does '' B.Y.O.B. '' mean ?,ABBR
What does the acronym CPR mean ?,ABBR
What does RCA stand for ?,ABBR
What is the abbreviation of the International Olympic Committee ?,ABBR
What is Mikhail Gorbachev's middle initial ?,ABBR
What does the '' blue ribbon '' stand for ?,ABBR
What does pH stand for ?,ABBR
What does BUD stand for ?,ABBR
CPR is the abbreviation for what ?,ABBR
What does EKG stand for ?,ABBR
What does CPR stand for ?,ABBR
What is the acronym for the rating system for air conditioner efficiency ?,ABBR
What is DSL ?,ABBR
How did serfdom develop in and then leave Russia ?,DESC
How can I find a list of celebrities ' real names ?,DESC
What are liver enzymes ?,DESC
Why do heavier objects travel downhill faster ?,DESC
What did the only repealed amendment to the U.S. Constitution deal with ?,DESC
What is '' Nine Inch Nails '' ?,DESC
What is an annotated bibliography ?,DESC
What's the Olympic motto ?,DESC
What is the origin of the name ' Scarlett ' ?,DESC
What do Mormons believe ?,DESC
How can I register my website in Yahoo for free ?,DESC
How do they find or choose witnesses to an execution ?,DESC
How do you ask a total stranger out on a date ?,DESC
What is ethology ?,DESC
Where did the term '' 86ed '' come from ?,DESC
What is the nature of learning ?,DESC
What is the Kashmir issue ?,DESC
What does '' extended definition '' mean and how would one write a paper on it ?,DESC
What is titanium ?,DESC
What is a caldera ?,DESC
Why do people get calluses ?,DESC
What are Cushman and Wakefield known for ?,DESC
What is the history of skateboarding ?,DESC
How do I make fuel bricks from recycled newspaper ?,DESC
How do I log on to home page at Headquarters U.S. European Command ?,DESC
What is the origin of head lice ?,DESC
What causes the body to shiver in cold temperatures ?,DESC
What are bear and bull markets ?,DESC
What is '' dew point '' ?,DESC
What is the meaning of Jesus ?,DESC
What is the definition of a cascade ?,DESC
What is the origin of the word '' attic '' ?,DESC
What did Delilah do to Samson's hair ?,DESC
How do you make a paintball ?,DESC
Where do chihuahuas come from ?,DESC
What does the Georgetown '' Hoya '' mean ?,DESC
How is the election of a new Pope announced to the world ?,DESC
How do chickens have baby chicks ?,DESC
What is the historical relationship of Catholic Church and bingo ?,DESC
How was the element calcium named ?,DESC
What is a transistor ?,DESC
What are equity securities ?,DESC
What is gymnophobia ?,DESC
