Class,Head,Neck_Label,PER,LOC,OBJ,TEM,NUM,WHAT,WHO,WHOM,WHOSE,WHY,WHERE,WHEN,WHICH,HOW,Root_POS
NUM,How,advmod,0,1,0,0,0,3,2,2,2,3,3,3,4,1,VBZ
LOC,What,np,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,0,0,1,0,0,2,0,1,2,1,3,2,3,2,VBD
DESC,What,ROOT,0,0,0,0,0,1,2,2,2,2,3,2,3,3,VBZ
NUM,When,aux,0,1,0,0,0,3,3,3,4,3,4,2,4,4,VB
NUM,How,acomp,0,0,0,0,0,4,3,3,4,3,5,4,5,2,VBZ
ENTY,What,ROOT,0,1,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,Why,aux,0,0,0,0,0,2,1,2,3,1,3,2,2,3,VB
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,3,3,VBZ
LOC,What,np,0,0,0,1,0,0,2,2,3,2,3,2,3,3,VBD
HUM,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,1,3,1,2,3,2,4,3,4,2,VBD
NUM,When,aux,0,1,0,0,0,2,2,2,3,2,2,0,3,3,VB
NUM,What,ROOT,0,0,0,0,0,1,2,2,2,2,3,2,3,3,VBZ
ENTY,What,np,0,0,0,0,0,1,2,2,3,1,3,2,3,3,VBZ
HUM,Who,ROOT,0,0,0,0,0,3,1,2,3,2,4,3,4,2,VBD
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
NUM,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,NN
HUM,Who,ROOT,1,0,0,0,1,3,2,3,4,2,4,3,4,3,VBD
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,np,0,1,1,0,0,2,2,2,3,2,3,2,3,3,VBN
